Age,Gender,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Previous Purchases,Preferred Payment Method,Frequency of Purchases
27,Male,Clothing,74,Maine,M,Teal,Fall,3.3,Yes,Credit Card,Store Pickup,Yes,25,Debit Card,Every 3 Months
56,Male,Footwear,95,Michigan,M,Turquoise,Fall,3.4,Yes,PayPal,Express,Yes,37,Venmo,Fortnightly
58,Male,Footwear,25,Tennessee,M,Magenta,Spring,4.2,Yes,Venmo,Express,Yes,3,PayPal,Annually
30,Male,Clothing,59,Louisiana,XL,Purple,Winter,3.8,Yes,PayPal,2-Day Shipping,Yes,24,Credit Card,Every 3 Months
23,Male,Outerwear,29,Missouri,M,Brown,Summer,4.0,Yes,Debit Card,Standard,Yes,49,Credit Card,Bi-Weekly
33,Male,Footwear,36,Michigan,S,Violet,Winter,2.7,Yes,Venmo,Free Shipping,Yes,3,Bank Transfer,Monthly
63,Male,Accessories,82,Alabama,M,Yellow,Summer,4.7,Yes,Bank Transfer,Express,Yes,42,Debit Card,Monthly
70,Male,Clothing,71,Massachusetts,XL,Magenta,Winter,3.5,Yes,Credit Card,Standard,Yes,32,Cash,Fortnightly
70,Male,Clothing,35,Indiana,L,Beige,Fall,3.0,Yes,PayPal,2-Day Shipping,Yes,33,Venmo,Fortnightly
19,Male,Accessories,38,West Virginia,XL,Turquoise,Winter,3.3,Yes,Cash,Free Shipping,Yes,46,Bank Transfer,Quarterly
25,Male,Accessories,59,Michigan,S,Peach,Summer,4.7,Yes,Cash,Store Pickup,Yes,44,Venmo,Monthly
19,Male,Clothing,91,Pennsylvania,M,Orange,Summer,4.7,Yes,Cash,Express,Yes,35,Credit Card,Every 3 Months
25,Male,Clothing,68,Alaska,XL,Red,Spring,4.8,Yes,Bank Transfer,Standard,Yes,45,Bank Transfer,Weekly
60,Male,Accessories,21,Massachusetts,L,Silver,Summer,2.9,Yes,Credit Card,Standard,Yes,37,PayPal,Bi-Weekly
35,Male,Accessories,95,North Dakota,M,Cyan,Spring,4.0,Yes,Venmo,2-Day Shipping,Yes,40,Debit Card,Every 3 Months
46,Male,Clothing,52,Vermont,L,Turquoise,Spring,3.1,Yes,Credit Card,Free Shipping,Yes,30,Cash,Every 3 Months
41,Male,Clothing,21,Kentucky,S,Charcoal,Fall,3.5,Yes,Venmo,2-Day Shipping,Yes,38,Venmo,Every 3 Months
30,Male,Clothing,67,Nevada,XL,Peach,Summer,3.7,Yes,Bank Transfer,Next Day Air,Yes,15,Debit Card,Every 3 Months
44,Male,Accessories,42,Utah,L,Green,Fall,2.8,Yes,Bank Transfer,Standard,Yes,49,Cash,Monthly
61,Male,Accessories,63,North Dakota,XL,Brown,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,40,Debit Card,Quarterly
55,Male,Footwear,41,Iowa,M,Yellow,Winter,3.8,Yes,PayPal,Standard,Yes,40,Debit Card,Weekly
50,Male,Accessories,46,Connecticut,M,Charcoal,Fall,2.6,Yes,Bank Transfer,2-Day Shipping,Yes,5,PayPal,Weekly
57,Male,Clothing,79,Wisconsin,L,Olive,Winter,4.1,Yes,Venmo,Standard,Yes,5,PayPal,Monthly
51,Male,Footwear,90,Idaho,L,Red,Fall,3.3,Yes,Cash,Next Day Air,Yes,5,Debit Card,Every 3 Months
18,Male,Clothing,71,Montana,M,White,Winter,3.4,Yes,Bank Transfer,Store Pickup,Yes,1,Cash,Weekly
63,Male,Clothing,87,Connecticut,L,Pink,Summer,3.0,Yes,Debit Card,Standard,Yes,21,Venmo,Weekly
34,Male,Clothing,66,Idaho,S,Black,Spring,3.2,Yes,Venmo,Express,Yes,18,PayPal,Annually
25,Male,Clothing,90,Arkansas,XL,Indigo,Summer,4.5,Yes,PayPal,Free Shipping,Yes,49,Cash,Quarterly
46,Male,Clothing,47,Iowa,L,Turquoise,Summer,4.8,Yes,Venmo,Express,Yes,27,Debit Card,Weekly
59,Male,Clothing,38,Louisiana,L,Purple,Spring,3.7,Yes,Debit Card,Next Day Air,Yes,21,Venmo,Annually
37,Male,Accessories,50,Kentucky,L,Beige,Summer,3.4,Yes,Cash,Store Pickup,Yes,19,Cash,Fortnightly
49,Male,Outerwear,79,Massachusetts,L,Charcoal,Summer,4.6,Yes,Debit Card,Standard,Yes,23,Debit Card,Monthly
22,Male,Accessories,91,Virginia,L,Turquoise,Spring,4.1,Yes,Bank Transfer,Standard,Yes,26,PayPal,Fortnightly
64,Male,Footwear,60,New Hampshire,M,Maroon,Spring,3.5,Yes,PayPal,2-Day Shipping,Yes,13,Bank Transfer,Bi-Weekly
42,Male,Clothing,81,New Hampshire,XL,Black,Summer,3.8,Yes,Credit Card,Next Day Air,Yes,36,Bank Transfer,Quarterly
37,Male,Clothing,90,Oregon,M,Lavender,Summer,2.6,Yes,Bank Transfer,Express,Yes,39,Bank Transfer,Bi-Weekly
26,Male,Outerwear,70,South Dakota,M,Magenta,Fall,4.4,Yes,Venmo,Store Pickup,Yes,40,Debit Card,Fortnightly
33,Male,Clothing,63,Delaware,L,Green,Spring,2.6,Yes,Venmo,Express,Yes,37,Debit Card,Quarterly
30,Male,Accessories,29,Missouri,M,Olive,Spring,3.6,Yes,PayPal,Express,Yes,9,Venmo,Bi-Weekly
21,Male,Clothing,90,Alaska,L,Green,Spring,4.2,Yes,Debit Card,Express,Yes,7,Venmo,Every 3 Months
22,Male,Clothing,22,Florida,M,Peach,Summer,4.6,Yes,Bank Transfer,Standard,Yes,25,Bank Transfer,Annually
63,Male,Clothing,22,Mississippi,L,Turquoise,Summer,3.3,Yes,Venmo,Next Day Air,Yes,42,Venmo,Bi-Weekly
33,Male,Accessories,62,New Mexico,L,Orange,Fall,3.4,Yes,Bank Transfer,Free Shipping,Yes,19,Debit Card,Weekly
43,Male,Clothing,57,California,L,Silver,Summer,4.4,Yes,Debit Card,Next Day Air,Yes,41,Debit Card,Every 3 Months
27,Male,Clothing,32,Wyoming,S,Blue,Summer,4.3,Yes,PayPal,Store Pickup,Yes,50,Cash,Bi-Weekly
35,Male,Accessories,53,Missouri,L,Cyan,Fall,3.5,Yes,Cash,Express,Yes,43,PayPal,Monthly
37,Male,Clothing,79,New Hampshire,XL,Green,Fall,4.7,Yes,Cash,Store Pickup,Yes,36,Venmo,Every 3 Months
61,Male,Accessories,61,Texas,L,Silver,Winter,3.1,Yes,Cash,Standard,Yes,33,Debit Card,Fortnightly
32,Male,Clothing,78,North Dakota,L,Yellow,Summer,3.6,Yes,PayPal,Next Day Air,Yes,20,Bank Transfer,Every 3 Months
62,Male,Clothing,97,Arkansas,S,Gray,Winter,4.8,Yes,Credit Card,Next Day Air,Yes,37,Venmo,Every 3 Months
29,Male,Clothing,78,Nebraska,M,Pink,Winter,3.7,Yes,Debit Card,Next Day Air,Yes,12,PayPal,Every 3 Months
41,Male,Accessories,56,Minnesota,L,Beige,Summer,3.2,Yes,Venmo,Express,Yes,46,PayPal,Every 3 Months
48,Male,Footwear,25,Massachusetts,M,Indigo,Summer,3.9,Yes,Venmo,Standard,Yes,28,Venmo,Fortnightly
43,Male,Outerwear,28,Arkansas,M,Red,Spring,3.5,Yes,Credit Card,Free Shipping,Yes,30,PayPal,Fortnightly
34,Male,Clothing,57,New Hampshire,L,Blue,Spring,2.8,Yes,Cash,Express,Yes,28,Cash,Bi-Weekly
45,Male,Clothing,36,Rhode Island,L,Cyan,Fall,2.7,Yes,Cash,2-Day Shipping,Yes,20,Debit Card,Bi-Weekly
65,Male,Clothing,69,New Jersey,S,Violet,Winter,3.1,Yes,Venmo,Express,Yes,39,Bank Transfer,Every 3 Months
61,Male,Accessories,48,Montana,M,Orange,Fall,3.6,Yes,Venmo,2-Day Shipping,Yes,48,Cash,Bi-Weekly
18,Male,Clothing,58,Colorado,L,Maroon,Spring,2.9,Yes,Debit Card,2-Day Shipping,Yes,32,Credit Card,Every 3 Months
47,Male,Accessories,24,Nebraska,M,Teal,Spring,3.6,Yes,PayPal,Store Pickup,Yes,28,PayPal,Annually
56,Male,Accessories,31,Minnesota,L,Orange,Winter,3.5,Yes,Credit Card,2-Day Shipping,Yes,27,Venmo,Quarterly
64,Male,Clothing,29,Minnesota,S,Purple,Summer,3.5,Yes,Cash,Free Shipping,Yes,26,Venmo,Bi-Weekly
26,Male,Clothing,69,South Dakota,M,Orange,Summer,2.8,Yes,Bank Transfer,Next Day Air,Yes,22,Credit Card,Fortnightly
22,Male,Clothing,79,West Virginia,XL,Yellow,Summer,4.7,Yes,Debit Card,Free Shipping,Yes,23,Bank Transfer,Every 3 Months
64,Male,Clothing,39,Nevada,M,Charcoal,Summer,3.1,Yes,Debit Card,Express,Yes,21,Debit Card,Quarterly
21,Male,Accessories,84,North Carolina,L,Gray,Fall,4.9,Yes,PayPal,Free Shipping,Yes,36,Cash,Weekly
67,Male,Footwear,66,Illinois,S,Charcoal,Spring,4.1,Yes,Debit Card,Next Day Air,Yes,42,Debit Card,Bi-Weekly
46,Male,Clothing,92,Michigan,L,Orange,Fall,4.7,Yes,Credit Card,Standard,Yes,4,Venmo,Monthly
40,Male,Footwear,45,Michigan,M,Red,Winter,2.5,Yes,Debit Card,Free Shipping,Yes,47,Credit Card,Annually
51,Male,Clothing,74,Oklahoma,L,Gold,Spring,4.4,Yes,Venmo,Next Day Air,Yes,13,Bank Transfer,Weekly
35,Male,Accessories,39,South Dakota,L,Brown,Fall,3.9,Yes,Bank Transfer,Free Shipping,Yes,8,Bank Transfer,Quarterly
56,Male,Accessories,71,Oklahoma,M,Olive,Winter,3.7,Yes,Bank Transfer,Standard,Yes,11,Debit Card,Quarterly
25,Male,Clothing,95,Maryland,L,Violet,Fall,3.4,Yes,Bank Transfer,Free Shipping,Yes,5,Venmo,Annually
65,Male,Accessories,72,Ohio,L,Indigo,Fall,4.8,Yes,Credit Card,Free Shipping,Yes,1,Credit Card,Monthly
39,Male,Accessories,85,Ohio,L,Yellow,Fall,4.2,Yes,Cash,2-Day Shipping,Yes,17,PayPal,Every 3 Months
47,Male,Footwear,54,Massachusetts,M,Teal,Fall,3.4,Yes,Credit Card,Store Pickup,Yes,27,Venmo,Quarterly
36,Male,Accessories,41,North Carolina,L,Pink,Spring,2.9,Yes,Cash,Store Pickup,Yes,3,Debit Card,Quarterly
66,Male,Outerwear,24,Florida,M,Violet,Spring,3.3,Yes,Venmo,Free Shipping,Yes,22,PayPal,Weekly
62,Male,Accessories,99,Montana,S,Orange,Summer,4.8,Yes,Cash,Standard,Yes,24,Cash,Fortnightly
41,Male,Clothing,32,Minnesota,M,Red,Fall,3.8,Yes,Debit Card,Store Pickup,Yes,18,Debit Card,Quarterly
66,Male,Footwear,71,Massachusetts,L,Peach,Summer,4.6,Yes,Bank Transfer,2-Day Shipping,Yes,39,Bank Transfer,Every 3 Months
51,Male,Clothing,49,Rhode Island,XL,Green,Winter,2.6,Yes,Bank Transfer,Next Day Air,Yes,25,Credit Card,Fortnightly
33,Male,Accessories,50,Minnesota,XL,Violet,Fall,3.4,Yes,Credit Card,Free Shipping,Yes,6,Cash,Annually
57,Male,Accessories,91,Nevada,L,Yellow,Fall,4.2,Yes,Credit Card,Express,Yes,26,Bank Transfer,Weekly
45,Male,Accessories,46,New Mexico,M,Pink,Fall,3.9,Yes,Credit Card,Standard,Yes,43,Debit Card,Fortnightly
61,Male,Clothing,50,North Carolina,M,Brown,Spring,2.9,Yes,Debit Card,2-Day Shipping,Yes,6,Credit Card,Monthly
55,Male,Clothing,39,Virginia,XL,Silver,Fall,4.2,Yes,Bank Transfer,Free Shipping,Yes,6,Debit Card,Quarterly
54,Male,Footwear,99,Alaska,M,Pink,Summer,3.0,Yes,Bank Transfer,Store Pickup,Yes,13,Cash,Quarterly
57,Male,Accessories,48,Nevada,M,Cyan,Winter,3.6,Yes,PayPal,Next Day Air,Yes,13,PayPal,Monthly
27,Male,Outerwear,77,Pennsylvania,M,Brown,Fall,2.5,Yes,Cash,Next Day Air,Yes,11,Cash,Annually
64,Male,Accessories,95,Illinois,XL,Red,Spring,2.6,Yes,PayPal,Express,Yes,45,Venmo,Weekly
52,Male,Clothing,100,Delaware,M,Silver,Spring,4.3,Yes,Credit Card,Store Pickup,Yes,8,PayPal,Monthly
19,Male,Footwear,54,Vermont,M,Gray,Spring,3.3,Yes,Venmo,Express,Yes,8,Credit Card,Annually
22,Male,Clothing,68,Hawaii,L,Cyan,Fall,2.6,Yes,Credit Card,Next Day Air,Yes,34,Bank Transfer,Fortnightly
18,Male,Clothing,22,Illinois,L,Teal,Fall,3.6,Yes,Cash,Free Shipping,Yes,40,Debit Card,Bi-Weekly
29,Male,Accessories,84,California,L,Indigo,Winter,2.6,Yes,Venmo,Express,Yes,14,Debit Card,Bi-Weekly
42,Male,Accessories,46,Nevada,M,Yellow,Summer,3.5,Yes,Credit Card,Standard,Yes,11,Credit Card,Quarterly
49,Male,Accessories,53,Kentucky,S,Gold,Winter,3.0,Yes,PayPal,Store Pickup,Yes,8,PayPal,Monthly
49,Male,Clothing,60,Alabama,M,Maroon,Spring,5.0,Yes,PayPal,Standard,Yes,8,Venmo,Every 3 Months
55,Male,Clothing,32,Wyoming,XL,Silver,Spring,2.5,Yes,Credit Card,Express,Yes,37,Venmo,Weekly
29,Male,Clothing,50,Massachusetts,M,Yellow,Summer,2.9,Yes,Cash,Store Pickup,Yes,23,Debit Card,Annually
60,Male,Clothing,94,Utah,M,Blue,Spring,4.6,Yes,Credit Card,Express,Yes,38,Cash,Annually
34,Male,Footwear,26,New York,M,Turquoise,Spring,3.6,Yes,Venmo,Free Shipping,Yes,38,Cash,Quarterly
30,Male,Accessories,44,Vermont,L,Indigo,Winter,3.0,Yes,PayPal,Store Pickup,Yes,12,Credit Card,Fortnightly
28,Male,Clothing,57,Hawaii,M,Green,Summer,4.5,Yes,PayPal,Standard,Yes,15,Cash,Weekly
63,Male,Clothing,65,Louisiana,L,Purple,Winter,4.5,Yes,Debit Card,Next Day Air,Yes,38,PayPal,Fortnightly
31,Male,Clothing,72,Alabama,M,Peach,Winter,3.2,Yes,Debit Card,Store Pickup,Yes,41,Bank Transfer,Every 3 Months
46,Male,Clothing,62,Louisiana,S,Purple,Spring,4.0,Yes,Bank Transfer,Next Day Air,Yes,37,PayPal,Fortnightly
70,Male,Accessories,21,Indiana,S,Teal,Winter,4.8,Yes,Credit Card,Express,Yes,16,Bank Transfer,Every 3 Months
53,Male,Accessories,85,Michigan,S,Green,Spring,3.7,Yes,Bank Transfer,Free Shipping,Yes,25,Venmo,Weekly
50,Male,Clothing,51,Rhode Island,XL,Yellow,Summer,3.8,Yes,Venmo,Store Pickup,Yes,18,Bank Transfer,Quarterly
33,Male,Accessories,84,Idaho,S,Purple,Fall,2.7,Yes,Venmo,Standard,Yes,4,Credit Card,Bi-Weekly
22,Male,Clothing,37,Louisiana,M,Indigo,Summer,4.9,Yes,Venmo,Store Pickup,Yes,12,Bank Transfer,Quarterly
50,Male,Accessories,44,North Carolina,S,Magenta,Summer,3.1,Yes,Credit Card,2-Day Shipping,Yes,35,PayPal,Fortnightly
34,Male,Footwear,45,New Jersey,M,Violet,Spring,4.2,Yes,Venmo,Next Day Air,Yes,45,Venmo,Weekly
24,Male,Clothing,35,Alabama,L,Maroon,Summer,3.8,Yes,Cash,Free Shipping,Yes,16,Credit Card,Monthly
69,Male,Accessories,50,Kentucky,XL,Yellow,Winter,4.2,Yes,Bank Transfer,Store Pickup,Yes,10,Debit Card,Fortnightly
39,Male,Footwear,26,New York,M,Beige,Summer,4.6,Yes,Cash,Store Pickup,Yes,34,Venmo,Annually
42,Male,Clothing,78,Arizona,XL,Black,Fall,4.0,Yes,Debit Card,2-Day Shipping,Yes,43,Credit Card,Annually
42,Male,Outerwear,82,Maryland,M,Violet,Fall,4.0,Yes,Cash,2-Day Shipping,Yes,38,Debit Card,Weekly
29,Male,Clothing,39,Alaska,M,Violet,Spring,3.8,Yes,Cash,2-Day Shipping,Yes,48,PayPal,Every 3 Months
55,Male,Accessories,55,Nevada,L,Brown,Summer,3.3,Yes,Venmo,Free Shipping,Yes,31,PayPal,Annually
32,Male,Clothing,20,Utah,S,Gold,Summer,2.6,Yes,Credit Card,Free Shipping,Yes,20,Cash,Every 3 Months
25,Male,Accessories,29,New Mexico,L,Blue,Fall,4.9,Yes,Credit Card,Express,Yes,12,Credit Card,Fortnightly
38,Male,Clothing,41,Delaware,M,Teal,Winter,3.5,Yes,Venmo,Next Day Air,Yes,2,Bank Transfer,Weekly
32,Male,Clothing,38,Connecticut,L,Silver,Winter,2.8,Yes,Credit Card,Express,Yes,30,Venmo,Every 3 Months
43,Male,Footwear,47,Mississippi,M,Maroon,Summer,2.6,Yes,Cash,Store Pickup,Yes,28,Venmo,Quarterly
41,Male,Clothing,30,Connecticut,L,White,Summer,3.7,Yes,Venmo,Next Day Air,Yes,40,Debit Card,Monthly
56,Male,Clothing,56,Florida,L,Charcoal,Summer,2.7,Yes,Credit Card,Standard,Yes,46,PayPal,Quarterly
27,Male,Clothing,89,New York,S,Brown,Winter,3.3,Yes,Bank Transfer,Express,Yes,15,Credit Card,Weekly
46,Male,Footwear,96,Wisconsin,L,Lavender,Fall,4.6,Yes,PayPal,Next Day Air,Yes,38,Cash,Every 3 Months
48,Male,Footwear,81,South Carolina,M,Violet,Fall,4.9,Yes,PayPal,Next Day Air,Yes,30,PayPal,Bi-Weekly
52,Male,Accessories,83,South Dakota,S,Lavender,Fall,4.9,Yes,Debit Card,Store Pickup,Yes,32,Debit Card,Bi-Weekly
18,Male,Footwear,35,Illinois,M,Green,Winter,2.7,Yes,Debit Card,Free Shipping,Yes,36,Venmo,Quarterly
64,Male,Footwear,56,Alaska,M,Olive,Summer,3.2,Yes,PayPal,Standard,Yes,32,Credit Card,Weekly
54,Male,Accessories,45,Montana,S,Olive,Summer,2.9,Yes,Credit Card,Store Pickup,Yes,14,Debit Card,Annually
31,Male,Clothing,62,Minnesota,M,Pink,Winter,3.8,Yes,Cash,Express,Yes,8,PayPal,Monthly
30,Male,Accessories,84,West Virginia,L,Teal,Spring,3.0,Yes,Cash,Next Day Air,Yes,27,Venmo,Bi-Weekly
26,Male,Clothing,24,Illinois,L,Cyan,Summer,3.9,Yes,Credit Card,Store Pickup,Yes,24,Debit Card,Monthly
25,Male,Accessories,21,Nevada,S,Gray,Spring,4.7,Yes,Credit Card,Store Pickup,Yes,30,PayPal,Fortnightly
59,Male,Clothing,91,Idaho,M,Peach,Winter,4.9,Yes,Cash,Store Pickup,Yes,34,Debit Card,Monthly
55,Male,Accessories,36,Colorado,S,Teal,Winter,4.8,Yes,Bank Transfer,Next Day Air,Yes,28,Debit Card,Quarterly
56,Male,Footwear,39,Louisiana,M,Turquoise,Spring,2.5,Yes,Cash,2-Day Shipping,Yes,27,Debit Card,Monthly
62,Male,Clothing,39,Vermont,M,Green,Spring,3.9,Yes,Cash,Standard,Yes,31,Credit Card,Bi-Weekly
35,Male,Clothing,59,Mississippi,L,Magenta,Winter,3.4,Yes,Cash,Standard,Yes,23,Bank Transfer,Annually
51,Male,Accessories,27,Georgia,M,Green,Winter,2.5,Yes,PayPal,Free Shipping,Yes,11,Credit Card,Quarterly
61,Male,Clothing,94,Georgia,M,White,Spring,3.0,Yes,Venmo,Store Pickup,Yes,48,Cash,Quarterly
27,Male,Accessories,94,Nebraska,XL,Brown,Fall,3.6,Yes,Venmo,Next Day Air,Yes,17,Cash,Monthly
54,Male,Clothing,94,Massachusetts,M,Purple,Winter,3.6,Yes,Credit Card,Standard,Yes,36,PayPal,Weekly
31,Male,Footwear,51,Colorado,S,Green,Fall,4.1,Yes,Credit Card,Free Shipping,Yes,33,Bank Transfer,Fortnightly
24,Male,Clothing,62,Nevada,M,Peach,Fall,3.7,Yes,Bank Transfer,2-Day Shipping,Yes,27,PayPal,Bi-Weekly
42,Male,Clothing,57,Idaho,S,Silver,Spring,3.1,Yes,Debit Card,2-Day Shipping,Yes,14,Credit Card,Fortnightly
41,Male,Clothing,76,Wyoming,M,Maroon,Fall,4.2,Yes,Cash,Express,Yes,5,Credit Card,Annually
66,Male,Accessories,63,Washington,M,Red,Summer,4.3,Yes,Debit Card,Express,Yes,47,Cash,Every 3 Months
58,Male,Outerwear,80,California,L,Blue,Fall,2.5,Yes,Credit Card,Express,Yes,28,Cash,Bi-Weekly
43,Male,Accessories,68,Oklahoma,M,Purple,Fall,3.5,Yes,Debit Card,Standard,Yes,11,Credit Card,Annually
52,Male,Accessories,89,Nevada,M,Indigo,Summer,3.1,Yes,Debit Card,Free Shipping,Yes,18,Credit Card,Weekly
35,Male,Footwear,26,Maryland,L,Indigo,Summer,2.5,Yes,Debit Card,Next Day Air,Yes,21,Debit Card,Weekly
23,Male,Accessories,90,West Virginia,L,Violet,Winter,3.9,Yes,PayPal,Store Pickup,Yes,22,Cash,Bi-Weekly
25,Male,Clothing,28,Illinois,L,Brown,Spring,4.9,Yes,Credit Card,Express,Yes,33,Cash,Every 3 Months
33,Male,Outerwear,29,Kentucky,M,Gray,Spring,4.3,Yes,Bank Transfer,Express,Yes,49,Credit Card,Annually
48,Male,Clothing,31,Illinois,L,Teal,Spring,2.6,Yes,Cash,Free Shipping,Yes,10,Debit Card,Every 3 Months
42,Male,Clothing,24,Alabama,L,Teal,Summer,4.2,Yes,Bank Transfer,2-Day Shipping,Yes,18,PayPal,Weekly
55,Male,Clothing,88,Texas,M,Beige,Summer,2.6,Yes,Venmo,Store Pickup,Yes,28,PayPal,Fortnightly
59,Male,Clothing,87,Missouri,M,Violet,Spring,3.6,Yes,Venmo,Express,Yes,25,PayPal,Weekly
65,Male,Clothing,80,Pennsylvania,S,Beige,Summer,3.2,Yes,Cash,Express,Yes,6,PayPal,Weekly
59,Male,Footwear,48,Missouri,L,Purple,Winter,4.4,Yes,PayPal,Express,Yes,44,Venmo,Bi-Weekly
31,Male,Accessories,21,Michigan,XL,Charcoal,Winter,3.7,Yes,PayPal,Standard,Yes,30,Venmo,Monthly
49,Male,Footwear,72,Kentucky,M,Pink,Spring,3.7,Yes,Bank Transfer,Express,Yes,42,Debit Card,Quarterly
53,Male,Clothing,44,New Jersey,L,Blue,Fall,4.1,Yes,Bank Transfer,Standard,Yes,30,PayPal,Monthly
48,Male,Footwear,73,Delaware,M,Lavender,Fall,3.6,Yes,PayPal,Store Pickup,Yes,33,Credit Card,Bi-Weekly
23,Male,Clothing,61,Missouri,S,Charcoal,Spring,4.3,Yes,Debit Card,Express,Yes,24,PayPal,Quarterly
68,Male,Footwear,20,Connecticut,L,Turquoise,Winter,2.6,Yes,Bank Transfer,Store Pickup,Yes,13,Venmo,Monthly
35,Male,Footwear,86,Massachusetts,M,Red,Summer,2.9,Yes,Credit Card,Express,Yes,19,Debit Card,Monthly
34,Male,Clothing,60,Florida,L,Yellow,Spring,4.2,Yes,Venmo,Next Day Air,Yes,23,Debit Card,Every 3 Months
62,Male,Accessories,43,Delaware,L,Orange,Winter,4.0,Yes,PayPal,Free Shipping,Yes,35,Cash,Monthly
21,Male,Clothing,44,California,L,Blue,Spring,4.3,Yes,Bank Transfer,Free Shipping,Yes,22,Venmo,Monthly
70,Male,Clothing,76,Oregon,L,Gold,Spring,3.0,Yes,Cash,2-Day Shipping,Yes,14,Credit Card,Quarterly
55,Male,Clothing,33,Alaska,M,Gold,Summer,3.5,Yes,Debit Card,Express,Yes,47,Debit Card,Fortnightly
43,Male,Clothing,60,Missouri,L,Cyan,Fall,3.0,Yes,Cash,Standard,Yes,50,Debit Card,Every 3 Months
19,Male,Outerwear,26,Oklahoma,L,Olive,Fall,3.1,Yes,PayPal,Free Shipping,Yes,33,PayPal,Weekly
47,Male,Clothing,73,Wisconsin,M,Teal,Winter,4.0,Yes,Credit Card,Next Day Air,Yes,7,Debit Card,Monthly
26,Male,Footwear,87,South Carolina,M,Maroon,Spring,4.1,Yes,Debit Card,Standard,Yes,3,Cash,Monthly
46,Male,Clothing,100,Virginia,XL,Green,Spring,3.3,Yes,PayPal,2-Day Shipping,Yes,35,Credit Card,Every 3 Months
19,Male,Outerwear,84,Arkansas,M,Charcoal,Winter,4.9,Yes,PayPal,Standard,Yes,13,PayPal,Fortnightly
49,Male,Footwear,41,Vermont,M,Cyan,Summer,3.9,Yes,PayPal,Standard,Yes,42,PayPal,Fortnightly
51,Male,Clothing,59,Kentucky,S,Charcoal,Winter,3.9,Yes,PayPal,Next Day Air,Yes,5,PayPal,Annually
64,Male,Clothing,26,Colorado,L,Charcoal,Winter,4.8,Yes,Bank Transfer,Store Pickup,Yes,23,Venmo,Annually
67,Male,Accessories,69,New Mexico,M,Lavender,Summer,2.7,Yes,Credit Card,Free Shipping,Yes,11,PayPal,Bi-Weekly
37,Male,Outerwear,20,Colorado,M,Turquoise,Spring,3.1,Yes,Debit Card,Free Shipping,Yes,23,Bank Transfer,Fortnightly
40,Male,Clothing,83,North Carolina,M,Green,Summer,3.2,Yes,Credit Card,Next Day Air,Yes,2,Credit Card,Every 3 Months
38,Male,Accessories,54,New Hampshire,M,Silver,Spring,2.7,Yes,PayPal,2-Day Shipping,Yes,33,PayPal,Weekly
66,Male,Clothing,66,West Virginia,M,Blue,Fall,2.5,Yes,Cash,Standard,Yes,6,Bank Transfer,Bi-Weekly
47,Male,Accessories,42,Hawaii,M,Charcoal,Spring,2.6,Yes,Bank Transfer,Next Day Air,Yes,45,Debit Card,Quarterly
56,Male,Clothing,33,North Dakota,M,Pink,Spring,2.9,Yes,Cash,Standard,Yes,25,Cash,Quarterly
51,Male,Footwear,77,Mississippi,M,Pink,Summer,4.2,Yes,PayPal,Free Shipping,Yes,24,Venmo,Quarterly
25,Male,Outerwear,65,Maine,M,Magenta,Fall,4.4,Yes,PayPal,Free Shipping,Yes,10,Venmo,Every 3 Months
37,Male,Footwear,39,North Dakota,L,Gray,Summer,4.1,Yes,Venmo,Free Shipping,Yes,7,Bank Transfer,Every 3 Months
41,Male,Accessories,51,Nebraska,L,Gray,Summer,3.8,Yes,Venmo,2-Day Shipping,Yes,1,Debit Card,Weekly
64,Male,Accessories,65,Nebraska,M,Orange,Winter,4.9,Yes,Venmo,Next Day Air,Yes,45,Venmo,Every 3 Months
23,Male,Accessories,89,Tennessee,S,Black,Summer,4.9,Yes,Cash,Express,Yes,37,Debit Card,Weekly
62,Male,Clothing,76,Wyoming,S,Lavender,Spring,4.1,Yes,Credit Card,Free Shipping,Yes,14,PayPal,Quarterly
39,Male,Accessories,75,Nevada,L,Red,Spring,3.1,Yes,Venmo,Express,Yes,25,Debit Card,Monthly
52,Male,Footwear,61,South Carolina,M,Silver,Summer,2.7,Yes,Credit Card,Next Day Air,Yes,18,Venmo,Annually
50,Male,Footwear,35,Virginia,M,Cyan,Fall,3.8,Yes,Cash,Next Day Air,Yes,37,Cash,Every 3 Months
28,Male,Footwear,37,Pennsylvania,S,Gold,Fall,4.3,Yes,Venmo,Free Shipping,Yes,30,Bank Transfer,Monthly
67,Male,Clothing,91,Hawaii,L,Yellow,Winter,4.1,Yes,Venmo,Express,Yes,34,Bank Transfer,Weekly
41,Male,Clothing,99,Ohio,L,Purple,Fall,4.4,Yes,Credit Card,Free Shipping,Yes,49,Debit Card,Every 3 Months
19,Male,Clothing,54,Utah,S,Brown,Summer,3.6,Yes,PayPal,Express,Yes,48,Bank Transfer,Monthly
70,Male,Accessories,47,Minnesota,L,Turquoise,Winter,3.3,Yes,Credit Card,2-Day Shipping,Yes,33,PayPal,Fortnightly
49,Male,Accessories,77,New Hampshire,S,Gold,Spring,3.6,Yes,Venmo,Express,Yes,44,Cash,Annually
59,Male,Accessories,84,Arizona,S,Olive,Fall,2.8,Yes,Venmo,Free Shipping,Yes,50,Venmo,Weekly
